Descripción*;Grupo terapéutico
LASA CON CODEINA ;R05DA
LASA INFANTIL ;R05CA
LASAIN ;N02BB
LASONIL ;C05BA
LASTET ;L01CB
LATANOPROST COLIRIO ;S01EE
LATANOPROST/TIMOLOL ;S01ED
LATIMVISTA ;S01ED
LATUSOL;S01EE
LAURAK AMPOLLAS ;M03AC
LAURAK COMPRIMIDOS ;N03AX
LAURIMIC CREMA ;D01AC
LAURIMIC VAGINAL;G01AF
LAVAFLAC ;B05XA
LAVESTRA ;C09CA
LAVINOL ;N03AX
LAVISA ;J02AC
LAVOLEN ;G02BB
LAXA GREY ;A06AD
LAXABENE ;A06AC
LAXADINAS ;A06AX
LAXALMEN ;A06AX
LAXANTE BESCANSA ALOICO ;A06AB
LAXANTE CINFA MENDILAX GOTAS ;A06AB
LAXANTE DERLY ;A06AB
LAXANTE GEVE ;A06AB
LAXANTE OLAN ;A06AB
LAXANTE SALUD ;A06AB
LAXANTE SANATORIUM ;A06AB
LAXEN BUSTO ;A06AC
LAXIPLANT ;A06AC
LAXISOFT ;A06AC
LAXITEX ;A06AB
LAXIUM PYRE ;A06AB
LAXO VIAN ;A06AB
LAXONALIN ;A06AB
LAXONOL ;A06AB
LAXVITAL;A06AB
LEBERSAL ;A16AX
LEBOPRIDE ;N05AL
LECIBRAL ;C08CA
LECIMAR;N06AB
LEDERCORT;H02AB
LEDERFOLIN IV ;V03AF
LEDERPAX ;D10AF
LEDOPSAN ;N04BA
LEDOVIT A ;A11CA
LEDOVIT C ;A11GA
LEDOVIT C B12 ;A11JC
LEFLUARTIL ;L04AA
LEFLUNOMIDA ;L04AA
LEFOSAN SEMANAL ;M05BA
LEGALON SIL ;V03AB
LEGIS ;R03AK
LEIKAN ;N05CM
LEIRACID ;A02BA
LEMA ERN C ;A01AB
LEMBROL;N05CD
LEMETIC ;A03FA
LENSAFREND ;J01DA
LENTARON DEPOT IM ;L02BG
LENTE MC ;A10AE
LENTOQUINE ;C01BA
LEODIN ;N02BB
LEONAL ;M01AE
LEPONEX ;N05AH
LERCADIP ;C08CA
LERCANIDIPINO ;C08CA
LERCAPRESS ;C09BB
LERGIABULINA ;J06BA
LERGOCIL ;R06AX
LERVIPAN ;J01CA
LERZAM ;C08CA
LESCOL ;C10AA
LESCOL PROLIB ;C10AA
LESPENEFRIL ;G04BC
LETISTAMIL ;R06AX
LETROZOL ;L02BG
LEUCO HUBBER ;G01BA
LEUCOGEN ;L01XX
LEUCOMAX ;L03AA
LEUKERAN ;L01AA
LEUKOSCAN ;V09HA
LEUSTATIN ;L01BB
LEVACT ;L01AA
LEVADURA CERVEZA;A11EA
LEVALIVER ;A05CA
LEVELINA ;D01AC
LEVEMIR FLEXPEN;A10AE
LEVEST ;N06AX
LEVETIRACETAM ;N03AX
LEVITRA;G04BE
LEVOCETIRIZINA ;R06AE
LEVODOPA+CARBIDOPA;N04BA
LEVOFLOXACINO ;J01MA
LEVOGASTROL ;A04AD
LEVOGLUSAL VITULIA;B05BB
LEVOTHROID ;H03AA
LEVOTUSS ;R05DB
LEVOVIST ;V08DA
LEVRISON ;J07BB
LEVULOSA ;B05BA
LEVULOSADO VITULIA ;B05BA
LEVULOSALINO ISOT BRAUN ;B05BB
LEVUPOTASICO VITULIA ;B05BB
LEVUSALINO VITULIA ;B05XA
LEVVIAX ;J01FA
LEXATIN ;N05BA
LEXIBIOTICO;J01DB
LEXINCEF;J01DB
LEXXEMA ;D07AC
LIADEMYCIN RETARD ;J01CE
LIBENAR ;R01AX
LIBERACID ;A02AX
LIBERALGIUM ;M01AB
LIBERANAS;R01AX
LIBERBIL ;A05CA
LIBERGAMMA;J06BA
LIBERGAMMA ANTIALERGICA ;J06BA
LIBERTEK;R03DX
LIBESPORAL ;J01DA
LIBETUSIN ;J01RA
LIBRACOR ;C07AB
LIBRADIN ;C08CA
LIBRATA ;N05CF
LIBRAX ;A03CA
LIBRIUM;N05BA
LIBROFEM;M01AE
LICOFORTE ;D11AX
LICOSTRATA ;D11AX
LIDALTRIN ;C09AA
LIDALTRIN DIU ;C09BA
LIDERFEN ;M01AE
LIDERFLEX ;M02AC
LIDERFRIOL ;R05DA
LIDERPLUS ;N02BE
LIDOBAMA COMPLEX;A05AB
LIDOBAMA PLUS ;A05AB
LIDOCAINA BAXTER;N01BB
LIDOCAINA GLUCOSA BAXTER;C01BB
LIDRONE NEBULIZADOR ;R01AD
LIETAR GRANULADO ;A13AA
LIFATON B12 ;B03BA
LIFERYTRIN ;J01FA
LIFUROX ;J01DC
LIGESIN ;C10AB
LIKENIL ;C09AA
LIMIFEN ;N01AH
LIMOVAN ;N05CF
LINCAINA BRAUN C/N;N01BB
LINCIL ;C08CA
LINCOCIN ;J01FF
LINCOMICINA ;J01FF
LINDEMIL ;G01AX
LINFOGLOBULINA ;L04AA
LINIMENTO KLARI ;M02AC
LINIMENTO LANGAL ;M02AX
LINIMENTO NAION;M02AC
LINIMENTO SLOAN ;M02AX
LINITUL ANTIBIOTICO ;D09AA
LINITUL APOSITOS ;D09AX
LINITUL POMADA ;D03AX
LINODERM;H02AB
LINOMED ;A06AB
LIOFORA ;G03AA
LIOFORA DIARIO ;G03AA
LIORESAL ;M03BX
LIORESAL INTRATECAL ;M03BX
LIPARISON ;C10AB
LIPEMOL ;C10AA
LIPIODOL ULTRAFLUIDO ;V08AD
LIPLAT ;C10AA
LIPO RED ;C10AB
LIPOBAY ;C10AA
LIPOCIDEN ;C10AA
LIPOFREN;C10AA
LIPOFUNDINA MCT/LCT ;B05BA
LIPOLAC GEL OFTALMICO;S01XA
LIPONET ;C10AX
LIPOPLUS ;B05BA
LIPOSCLER ;C10AA
LIPOSIT;C10AA
LIPOSIT PROLIB;C10AA
LIPOSTEROL ;C10AA
LIPOVAS ;C10AB
LIQUEMINE ;B01AB
LIQUEMINE SUBCUTANEO ;B01AB
LIQUIFILM LAGRIMAS;S01XA
LIQUIFRESH;S01XA
LIQUIPOM ANTIBIOTICO ;S01AA
LIQUIPOM CONSTRICTOR;C01CA
LIQUIPOM DEXA ANTIB ;S01CA
LIQUIPOM DEXA CONST ;S01BB
LIQUIPOM DEXAMIDA ;S01CB
LIQUIPOM MEDR ANTIB ;S01CA
LIQUIPOM MEDRI CONST ;S01BB
LIQUIPOM MEDRISONE ;S01BA
LISINOCIC ;C09AA
LISINOPRIL ;C09AA
LISINOPRIL/HIDROCLOROTIAZIDA ;C09BA
LISMOL ;C10AC
LISOZIMA CHIESI ;J05AX
LISTRAN ;M01AX
LISUBEL ;R02AA
LITACE ;G04CB
LITAK ;L01BB
LITANIN ;A05AA
LITAREK ;C10AB
LITIAX ;G04BX
LITICUM ;A03FA
LITOCURE ;A05AA
LITOSURAN ;G04BC
LITRISON ;A05BA
LIVAZO;C10AA
LIVERCROM ;A05BA
LIVIANE COMPUESTO TOPICO ;M02A
LIVOCAB NASAL ;R01AC
LIVREN ;N06AX
LIXACOL ;A07EC
LIXBEN ;N06DA
LIZIPAINA ;R02AB
LLORENTECAINA NORADRENAL ;N01BB
LOBIVON ;C07AB
LOBIVON PLUS ;C07BB
LOCETAR ;D01AE
LOCETAR UÑAS;D01AE
LOCORTENE ;D07AB
LODERM ;D10AF
LODERM RETINOICO;D10AD
LOETTE ;G03AA
LOETTE DIARIO ;G03AA
LOFA ;C04AX
LOFTON ;C04AX
LOGACRON ;D08AK
LOGIMAX ;C07FB
LOGRADIN ;R01BA
LOITIN ;J02AC
LOMBRIAREU ;P02CC
LOMBRIFHER ;P02CB
LOMEXIN;D01AC
LOMEXIN VAGINAL ;G01AF
LOMIR RETARD ;C08CA
LOMPER ;P02CA
LONGACOR NATIVELLE ;C01BA
LONGAPLEX ;G03CA
LONGIVOL ORAL ;A13A
LONITEN;C02DC
LONSEREN ;N05AC
LOPERAMIDA ;A07DA
LOPERAN ;A07DA
LOPERKEY ;A07DA
LOPID ;C10AB
LOPRESOR ;C07AB
LORAMET;N05CD
LORATADINA ;R06AX
LORAZEPAM ;N05BA
LORMETAZEPAM ;N05CD
LOSALEN ;D07XB
LOSARTAN ;C09CA
LOSARTAN/HIDROCLOROTIAZIDA ;C09DA
LOSEC ;A02BC
LOSEC MUPS;A02BC
LOSFERRON ;B03AA
LOTUSIX ;R05CZ
LOVASTATINA ;C10AA
LOXAPAC ;N05AH
LOXIFAN ;L02BG
LUASE ;M01AB
LUBRICANTE UROLOGICO ;N01BA
LUBRIFILM ;S01XA
LUBRILAX ;A06AB
LUCENFAL ;C08CA
LUCENTIS ;S01LA
LUDICOR ;C07AB
LUDIOMIL ;N06AA
LUFORAN ;H01CA
LUMBAXOL ;M03BB
LUMIGAN ;S01EE
LUMINAL ;N03AA
LUMINALETAS ;N03AA
LUMINITY ;V08DA
LUNAFEM ;P03AX
LUNDIRAN ;M01AE
LUPIDON ;A16AX
LURAMON ;N06AB
LUSTRAGEN;N06AB
LUSTRAMYLAN ;N06AB
LUTRATE DEPOT ;L02AE
LUTSIMED ;D10AE
LUVERIS ;G03GA
LUZONE ;C10AX
LUZONE FORTE ;C10AX
LYMETEL ;C10AA
LYMETEL PROLIB ;C10AA
LYNDIOL;G03AA
LYRICA ;N03AX
LYSINOTOL ;N02BA
LYSODREN ;L01XX
LYSOFORM ;D08AX
LYSSAVAC ;J07BG
LYSSUMAN ;J06BB
MAALOX CONCENTRADO ;A02AD
MABCAMPATH ;L01XC
MABOCLOP ;B01AC
MABOGASTROL ;A02AH
MABOTERPEN ;R05FB
MABTHERA ;L01XC
MACALVIT;A12AA
MACMIROR VAGINAL ;G01AX
MACRODEX GLUCOSADO ;B05AA
MACRODEX SALINO ;B05AA
MACROGOL ;A06AD
MACROSIL ;J01FA
MACROTEC ;V09EB
MACUGEN ;S01LA
MADAPROX ;M01AE
MADOPAR ;N04BA
MADOPAR RETARD ;N04BA
MADURASE ;A03FA
MAG ;A12CC
MAG3 TECHNESCAN ;V09CA
MAGION ;A02AD
MAGNEGITA ;V08CA
MAGNESAN ;A12CC
MAGNESIA CECEF ;A06AD
MAGNESIA CINFA ;A02AA
MAGNESIA LAINCO;A02AA
MAGNESIA SAN PELLEGRINO;A02AA
MAGNESIOBOI ;A12CC
MAGNESIUM PYRE ;A12CC
MAGNETOLUX ;V08CA
MAGNEVIST ;V08CA
MAGNEVIST ENTERAL ;V08CA
MAGNOGENE ;A12CC
MAGNOGRAF ;V08CA
MAGNOGRAF ENTERAL ;V08CA
MAGNUROL ;G04CA
MAHIOU ;D11AX
MAJEPTIL ;N05AB
MALANDIL ;A13AA
MALARONE ;P01BB
MALENA ;G02CX
MANDOKEF ;J01DC
MANERIX ;N06AG
MANFREDOL ;G04CA
MANIDIPINO ;C08CA
MANIDON;C08DA
MANIDON HTA ;C08DA
MANIDON RETARD ;C08DA
MANITOL;B05BC
MANSAL ;A02BA
MANTECA DE CACAO ;D02AC
MANZALAX ;A06AB
MARCEN ;N05BA
MARCUMAR ;B01AA
MAREVIT ;R06AE
MARLIDAN ;A13AA
MARRECS ;N02BE
MARTIMIL ;N06AA
MASAGIL ;M02AC
MASCARTIL ;M01AX
MASDIL ;C08DB
MASDIL RETARD ;C08DB
MASTIA ;N02BA
MASTICAL ;A12AA
MASTICAL  D ;A12AX
MASTICAL D UNIDIA ;A12AX
MASTIOL ;D08AC
MATRABEC ;A11AA
MATRIFEN ;N02AB
MAXALT ;N02CC
MAXALT MAX ;N02CC
MAXBON ;A12AX
MAXICILINA ;J01CA
MAXIDEX ;S01BA
MAXILASE ;A09AA
MAXILASE ANTIBIOTICA ;J01CA
MAXIPIME ;J01DE
MAXITROL ;S01CA
MAXIWAS ;A13AA
MAXPIL ;D11AX
MAYCOR RETARD ;C01DA
MAYESTA ;D10BA
MAYGACE ;L02AB
MAYGACE ALTAS DOSIS ;L02AB
MAYNAR;J05AB
MAYNAR LABIAL ;D06BB
MAYNAR OFTALMICO;S01AD
MAYUL;G04CA
MEBENDAN ;P02CA
MEBONAT ;M05BA
MECLOMEN ;M01AG
MEDEBIOTIN ;A11HA
"MEDEBIOTIN ""NORM""";A11HA
MEDEBIOTIN FUERTE ;A11HA
MEDECITRAL ;A04AD
MEDEDOXI ;J01AA
MEDENOREX ;A15AA
MEDEREBRO ;A11DB
MEDERREUMOL;M01AB
MEDESUP ;A06AB
MEDEZOL ;D01AC
MEDICEBRAN ;N06BA
MEDIFLOR EXTRACTO HYPERICUM ;N06AX
MEDIKINET ;N06BA
MEDINAIT ;R05DA
MEDIPREN ;M01AE
MEFLOXINE ;J01RA
MEFOXITIN ;J01DA
MEGAMILBEDOCE ;B03BA
MEGANEST ;N01BB
MEGASEDAN ;N05BA
MEGEFREN ;L02AB
MEGRAL ;N02BB
MEIACT ;J01DD
MEINFUSONA ;B05XA
MEINFUSONA HEPATICA ;B05XA
MEINFUSONA TROFICA FORTE;B05BA
MEINSOL AQUA ;V07AB
MEINSOL CLORURO POTASICO;B05XA
MEINSOL CLORURO SODICO ;V07AB
MEINVENIL FISIOLOGICO ;B05BB
MEINVENIL GLUCOSA ;B05BA
MEINVENIL GLUCOSALINA ;B05BB
MEJORAL ;N02BA
MEJORAL CAFEINA ;N02BA
MEJORAL MASTICABLE;N02BA
MELABON ;N02BB
MELABON INFANTIL SUPOSITORIOS;N02BE
MELANASA ;D11AX
MELERIL ;N05AC
MELERIL RETARD ;N05AC
MELFALAN ;L01AA
MELIANE ;G03AA
MELIANE DIARIO ;G03AA
MELIVAL ;N05CX
MELODENE ;G03AA
MELOKA ;N02BE
MELOXICAM ;M01AC
MELTEVA ;G03AA
MEMORINO ;N06BX
MENABIL COMPLEX ;A16AX
MENADERM ;D07CC
MENADERM CLIO ;D07BC
MENADERM NEOMICINA ;D07CC
MENADERM OTOLOGICO ;S02CA
MENADERM SIMPLE ;D07AC
MENADERM UNGÜENTO;D07CC
MENALCOL REFORZADO ;D08AC
MENALGIL B6 AMPOLLAS ;A11DB
MENALGIL B6 COMPRIMIDOS;A11EA
MENALMINA ;D08AC
MENAVEN ;C05BA
MENCALISVIT;A12AX
MENCEVAX AC ;J07AH
MENEPAROL SOLUCION;A05BA
MENEPAROL VIALES BEBIBLES;A05CA
MENFAZONA ;N06AX
MENFAZONA START ;N06AX
MENINGITEC ;J07AH
MENINVACT ;J07AH
MENJUGATE KIT;J07AH
MENOCLIM ;G02CX
MENOPUR;G03GA
MENOREST ;G03CA
MENOXICOR ;C01DX
MENTAMIDA ;A01AB
MENTHOL ICE;M02AX
MENTIS ;N06BX
MENTOBOX POMADA ;R05X
MENVEO ;J07AH
MEPACT ;L03AX
MEPIVACAINA;N01BB
MEPROSPAN ;N05BC
MERALOP ;S01XA
MERBROMINA ;D08AK
MERCAPTOPURINA ;L01BB
MERCROMINA ;D08AK
MERCROVERK ;D08AK
MERCRYL PLUS ;D08AC
MERCUFILA ;D05AA
MERCURIN ;D08AK
MERCURIO ROJO ;D08AK
MERCUROBROMO ;D08AK
MERCUTINA;D08AK
MERIDOL ;N02BA
MERIESTRA ;G03CA
MERIGEST ;G03FA
MERIGEST SEQUI ;G03FB
MERONEM ;J01DH
MEROPENEM ;J01DH
MERTHIOLATE TINTURA ;D08AK
MESARIN ;C05BA
MESTINON ;N07AA
META FRAMAN;J01CA
METABACTER ;J01CA
METABACTER BRONQUIAL ;J01CA
METABOLICUM ;A13AA
METABOLIMAX ;V09IX
METACLARBEN ;J01CA
METAFISOL ;A12AX
METAGLIZ ;A03FA
METAIODOBENCILGUANIDINA (131I) DIAGNOSTICO ;V09IX
METAIODOBENCILGUANIDINA (131I) TERAPEUTICO ;V10XA
METAKES ;J01CA
METALCOR ;J01CA
METALCOR BRONQUIAL ;J01CA
METALGIAL ;N02BB
METALYSE ;B01AD
METAMAS ;J01CA
METAMIZOL ;N02BB
METAMPEN ;J01CA
METAMPEN MUCOLITICO ;J01CA
METAMPICILINA ;J01CA
METAMPILENE ;J01CA
METAMPLIMEDIX;J01CA
METAMUCIL ;A06AC
METASEDIN ;N07BC
METASTRON ;V10BX
METATRACE FDG ;V09IX
METAVAL ;J01CA
METEORIL ;A02AX
METERDOS;C01CA
METFORMINA ;A10BA
METHERGIN ;G02AB
METIFARMA ;J01CA
METIFARMA MUCOLIT;R05CZ
METILEMA ;A13AA
METILPREDNISOLONA ;H02AB
METOCLOPRAMIDA ;A03FA
METOJECT ;L01BA
METORENE ;C05CX
METOTREXATO;L01BA
METOXAMINA ;C01CA
METRAN ;J01DA
METRONIDAZOL GEL;D06BX
METRONIDAZOL IV;J01XD
METRONIDAZOL ORAL ;P01AB
METRULEN M ;G03AA
METVIX ;L01XD
MEVACOR ;C10AA
MEVAREN ;G03FA
MEVASTEROL ;C10AA
MEZAVANT ;A07EC
MEZTARDIA HUMANA ;A10AD
MEZYM ;A09AA
MIACALCIC ;H05BA
MIBG (123I) COVIDIEN INYECTABLE;V09IX
MIBG (131I) COVIDIEN TERAPEUTICO;V10XA
MIBI RADIOPHARMACY;V09GA
MIBI TECHNESCAN ;V09GA
MICANOL ;D05AC
MICARDIS;C09CA
MICARDISPLUS ;C09DA
MICEBRINA ;A11AA
MICEBRINA BCE ;A11BA
MICEBRINA COMPLEX ;A11AA
MICEBRINA COMPLEX GINSENG;A13AA
MICEBRINA GINSENG ;A11AA
MICETAL ;D01AC
MICIFRONA ;G04BX
MICINOVO ;J01CA
MICLAST ;D01AE
MICOESPEC ;G01AF
MICOESPEC TOPICO ;D01AC
MICOFENOLATO MOFETILO ;L04AA
MICOISDIN ;D01AE
MICOMISAN ;D01AC
MICONAZOL  CREMA ;D01AC
MICONAZOL COMPRIMIDOS;J02AB
MICOSEPTIL ;D01AC
MICOSONA;D01AE
MICOTICUM ;J02AB
MICRALAX ;A06AG
MICROCASEN ;A06AG
MICRODIOL ;G03AA
MICROGYNON ;G03AA
MICROSUPOS ANTIESPASMO;A03DB
"MICTUROL SEDANTE ""FUERTE"" ";J01EB
"MICTUROL SEDANTE ""NORMAL"" ";J01EB
MIDACINA;D07CC
MIDATEN ;C03CA
MIDATEN RAPID ;C03CA
MIDAZOLAM ;N05CD
MIDECAMICINA ;J01FA
MIDOCIL ;M01AB
MIFEGYNE;G03XB
MIFEREN ;N02BA
MIFLONIDE ;R03BA
MIGRALEVE;N02BE
MIGRANAL ;N02CA
MIGRISTENE ;N02CX
MIJAL ;M01AE
MIJAL TOPICO ;M02AA
MIKELAN ;C07AA
MIKELAN OFTALMICO;S01ED
MIKIUM ;D01AE
MIKIUM VAGINAL ;G01AX
MILAVIR OFTALMICO ;S01AD
MILAVIR TOPICO ;D06BB
MILBEDOCE ANABOLICO ;A14BA
MILIKEN MUCOLITICO ;J01CA
MILIKEN MUCOLITICO RETARD ;R05CZ
MILLATEROL ;C10AX
MILROSINA ;A01AB
MILROSINA HIDROCORT ;A01AC
MILROSINA NISTATINA ;A01AC
MILTEX ;L01XX
MILTOWN ;N05BC
MILZONE ;N03AG
MIMEDRAN ;C10AX
MIMPARA ;H05BX
MINADEX MIX ;A11AA
MINADEX MIX GINSENG ;A11AA
MINESSE ;G03AA
MINI OVULO LANZAS ;G02BB
MINILIP RETARD ;R01BA
MINIPRES ;C02CA
MINITRAN ;C01DA
MINOCIN;J01AA
MINODIAB ;A10BB
MINOTON ;A02AD
MINOXIDIL ;D11AX
MINULET ;G03AA
MINURIN ;H01BA
MINURIN FLAS ;H01BA
MINUSCOL ;C10AA
MIO RELAX;M03BA
MIOCRIN ;M01CB
MIOFLEX ;M03AB
MIOKALIUM ;A12BA
MIOL;A02BC
MIOPOTASIO;A12BA
MIOSEN ;B01AC
MIOSEN SEMANAL ;M05BA
MIOWAS ;M03BA
MIOWAS G ;M03AC
MIOZETS ;R02AB
MIRACLAR ANTISEPTICO ;S01GA
MIRACLAR COLIRIO;S01GA
MIRANTAL ;S01CB
MIRAPEXIN ;N04BC
MIRAPRONT ;A08AA
MIRAZUL ;S01GA
MIRBANIL ;N05AL
MIRCERA ;B03XA
MIRCOL ;R06AD
MIRENA ;G02BA
MIRPIK ;N06AX
MIRTAMYLAN ;N06AX
MIRTAZAPINA ;N06AX
MIRTAZAPINA FLAS ;N06AX
MIRTILUS ;S01XA
MISCIDON ;C03EA
MISIVE ;G02AD
MISOFAR ;G02AD
MISTAMINE ;R06AX
MISULMYLAN ;N05AL
MITEN ;C09CA
MITEN CARDIO;C09CA
MITEN PLUS ;C09DA
MITEN PLUS FORTE;C09DA
MITIBRON;J01CA
MITIDERMA ;R05X
MITOCORTYL ;D07AA
MITOMYCIN C ;L01DC
MITOSYL;D02AB
MITOXANTRONA ;L01DB
MIVACRON;M03AC
MIXTARD ;A10AD
MIXTARD HUMANA ;A10AD
MIXTARD INNOLET ;A10AD
MIXTARD NOVOLET ;A10AD
MIXTARD PENFILL ;A10AD
MIZOLEN ;R06AX
M-M-RVAXPRO ;J07BD
MOCLOBEMIDA;N06AG
MODAFINILO ;N06BA
MODANE ;A06AB
MODECATE ;N05AB
MODERATOR ;C07AB
MODERIN ACNE ;D10AA
MODIGRAF ;L04AD
MODIODAL ;N06BA
MODULATOR;C10AX
MODUS ;C08CA
MOGADON ;N05CD
MOLAXOLE;A06AD
MOLDINA ;D01AC
MOLSIDAIN ;C01DX
MOLSON ;C07AB
MOMEN ;M01AE
MOMENTOL;J01EE
MOMETASONA ;D07AC
MOMICINE ;J01FA
MONEI ;A06AX
MONKASTA ;R03DC
MONOCID;J01DC
MONOCLATE P;B02BD
MONOFERRO ;B03AC
MONOFOSCIN ;J01XX
MONOLITUM ;A02BC
MONOLITUM FLAS ;A02BC
MONONINE ;B02BD
MONONITRATO ISOSORBIDA;C01DA
MONOPRESS ;C08CA
MONOPROST ;S01EE
MONOSTOP ;D01AC
MONOTARD ;A10AE
MONOTREAN ;A04AD
MONTELUKAST ;R03DC
MONUROL ;J01XX
MOONVAL ;C09CA
MOONVAL PLUS;C09DA
MOPRAL ;A02BC
MOPRAL MUPS ;A02BC
MORDE X ;V03AX
MORFINA ;N02AA
MORGENXIL ;J01CA
MOSEGOR ;N02CX
MOSIL ;A02AD
MOSTARINA ;L01AA
MOTENS ;C08CA
MOTILIUM;A03FA
MOTIVAN ;N06AB
MOTOSOL ;R05CB
MOTOSOL RETARD ;R05CB
MOUSTIDOSE ;D09AA
MOVALIS ;M01AC
MOVICOL ;A06AD
"MOVICOL ""CONCENT"" ";A06AD
MOVILAT ;M02AC
MOVILISIN ;M02AC
MOVIPREP ;A06AD
MOVTOR ;M01AH
MOXIPIN ;J01CA
MOXIPIN MUCOLITICO CAPSULAS;R05CZ
MOXIPIN MUCOLITICO SOBRES ;J01CA
MOXON ;C02AC
MOZOBIL ;L03AX
MST CONTINUS ;N02AA
MST CONTINUS RETARD;N02AA
MUCIBRON ;R05CB
MUCIPLAZMA ;A06AC
MUCLOX ;A02BA
MUCOALIV ;R05CB
MUCOBIOTINA ;J01DA
MUCOFLUID ;R05CB
MUCOLIBEX ;R05CB
MUCORAMA ;R03DB
MUCORAMA TS ;R05CZ
MUCOREX ;R05CB
MUCOREX AMPICILINA ;R05CZ
MUCOREX CICLIN ;R05CZ
MUCOSAN ;R05CB
MUCOSAN PEDIATRICO ;R05CB
MUCOSAN RETARD ;R05CB
MUCOVITAL ;R05CB
MULSAL A MEGADOSIS ;A11CA
MULTAQ;C01BD
MULTIBIONTA ;A11BA
MULTIBIONTA COMPLEX GINSENG ;A13AA
MULTIBIONTA MINERAL ;A11AA
MULTICEBRINA EFEVIT ;A11AA
MULTIGON ;A11AA
MULTIHANCE ;V08CA
MULTIVIT FORTE ;A11EX
MUNTEL ;R06AE
MUPIROCINA ;D06AX
MURODE ;D07AC
MUSE ;G04BE
MUSTOFORAN ;L01AD
MUTABASE ;N06CA
MUTAGRIP ;J07BB
MYAMBUTOL ;J04AK
MYCAMINE ;J02AX
MYCOSPOR ;D01AC
MYCOSPOR ONICOSET;D01AC
MYCOSTATIN ;A01AB
MYCOSTATIN TOPICO;D01AA
MYCOSTATIN VAGINAL;G01AA
MYDRIASERT ;S01FA
MYFENAX ;L04AA
MYFORTIC ;L04AA
MYOCET ;L01DB
MYOLASTAN ;M03BX
MYOVIEW ;V09GA
MYOXAM;J01FA
MYOZYME ;A16AB
MYSOLINE ;N03AA
NAAXIA ;S01GX
NACHA ;G02BB
NACOR ;C09AA
NAD MEDICAL;N07CA
NADISAN ;A10BB
NADIXA ;D10AF
NADONA ;D11AX
NAGLAZYME ;A16AB
NALCROM ;A07EB
NALFON ;M01AB
NALION ;J01MA
NALOVEN;M01AX
NALOXONA ;V03AB
NALOXONE ;V03AB
NALTREXONA ;N07BB
NANI PRE DENTAL ;A01AD
NANOCOLL ;V09DB
NANOTIV ;B02BD
NANSIUS ;N05BA
NAPRILENE ;C09AA
NAPROKES ;M01AE
NAPROSYN ;M01AE
NAPROSYN TOPICO ;M02AA
NAPROVAL ;M01AE
NAPROXENO ;M01AE
NARAMIG ;N02CC
NARATRIPTAN;N02CC
NARDELZINE ;N06AF
NARFEN ;M01AE
NARILET ;R01AX
NARINE REPETABS;R01BA
NARINE RETARD ;R01BA
NAROL ;N05BE
NAROPIN ;N01BB
NARVIZOL ;R06AX
NASACORT ;R01AD
NASAL ROVI ;R01AD
NASALTEX ;R01AA
NASELCEN ;N05CM
NASO PEKAMIN;R01AB
NASOKEY ;R01AD
NASOLINA ;R01AA
NASONEX ;R01AD
NASOPOMADA ;R01AX
NASOTIC OTO NASAL ;S02CA
NASOTRICIN ;R01AD
NASOVALDA ;R01AA
NASOVALDA MENTOLADO ;R01AA
NATECAL ;A12AA
NATECAL D ;A12AX
NATECAL D FLAS ;A12AX
NATIFAR ;H03CA
NATIMED ;H03CA
NATISEDINA ;C01BB
NATROCITRAL ;A02AX
NATULAN ;L01XB
NATURLIX ;A06AC
NATUSAN ;D08AD
NAUZELIN ;A03FA
NAVARROFILINA ;R03DB
NAVARRUROL ;M04AA
NAVELBINE ;L01CA
NAVICALM ;R06AE
NAVIXEN ;C09CA
NAVIXEN PLUS ;C09DA
NAVOBAN ;A04AA
NAXINA ;J01CR
NAXPA ;R05CB
NEALORIN ;L01XA
NEATENOL ;C07AB
NEATENOL DIU ;C07BB
NEATENOL DIUVAS;C07FB
NEBILET ;C07AB
NEBILOX ;C07AB
NEBINE ;C07AB
NEBIVOLOL ;C07AB
NEBLIK ;R03AC
NEBULASMA;R03BC
NEBULCROM ;R03BC
NEBULICINA ;R01AA
NEBULIZADOR ANTIHIS PENS ;R01AB
NECOPEN ;J01DD
NEGATOL OVULOS ;G01AX
NEHOLIS ;A06AB
NEISVAC C ;J07AH
NELORPIN ;C04AD
NEMACTIL ;N05AC
NEMEA ;N05AH
NEMESTRAN ;G03XA
NEO ANALSONA ;C05AA
NEO ARITMALINA ;C01BB
NEO ARTROL RETARD ;M01AE
NEO ATROMID ;C10AB
NEO BACITRIN ;D06AX
NEO BACITRIN HIDROCORTISONA;D07CA
NEO DECABUTIN;M01AB
NEO DIFTEPERTUS ;J07AM
NEO DURASINA ;R01BA
NEO ELIXIFILIN RETARD ;R03DA
NEO FERTINORM ;G03GA
NEO GILURYTMAL ;C01BB
NEO HORTALIDINA ;A07AA
NEO HUBBER GOTAS OTICAS/NASALES;S02CA
NEO ILOTICINA ;J01FA
NEO LACRIM ;S01GA
NEO LYNDIOL ;G03AA
NEO MELUBRINA ;N02BB
NEO MODERIN ;D07BA
NEO PENPROBAL ;J01CA
NEO RINACTIVE;R01AD
NEO SYNALAR ;D07CC
NEO TOGRAM ;J01CA
NEO TOMIZOL ;H03BB
NEO URGENIN ;G04CX
NEO VISAGE ;D10AA
NEOBRUFEN ;M01AE
NEOBRUFEN CON CODEINA ;N02BG
NEOBRUFEN TOPICO;M02AA
NEOCEPACILINA ;J01CE
NEOCIBALENA ;N02BE
NEOCOLAN ;A05CA
